Company,Last valuation (US$ billions),Valuation date,Exit date,Exit reason,Exit valuation (US$ billions),Country,Founders
Uber ,72,August 2018[624] ,May 2019[625] ,IPO ,82.4,United States ,"Travis Kalanick, Garett Camp "
DiDi ,62,July 2019[626] ,June 2021[627] ,IPO ,73,China ,Cheng Wei 
Facebook ,50,January 2011 ,May 2012[628] ,IPO ,104,United States ,"Mark Zuckerberg, Eduardo Saverin, Andrew McCollum, Chris Hughes, Dustin Moskovitz "
Xiaomi ,45,April 2015 ,July 2018[629] ,IPO ,70,China ,Lei Jun 
Alibaba ,42,June 2016 ,September 2014[630] ,IPO ,238,China ,Jack Ma 
Lufax ,39.4,March 2019 ,October 2020[631] ,IPO ,33,China ,
UiPath ,35,February 2021[632] ,April 2021[633] ,IPO ,29,United States / Romania ,Daniel Dines and Marius Tîrcă 
Airbnb ,31,March 2017[634] ,December 2020[635] ,IPO ,100,United States ,"Brian Chesky, Nathan Blecharczyk, Joe Gebbia "
Nubank ,30,June 2021[636] ,December 2021 ,IPO ,45,Brazil ,"David Velez, Edward Wible, Cristina Junqueira "
Meituan-Dianping ,30,October 2017[152] ,September 2018[637] ,IPO ,53,China ,
Kuaishou ,28,December 2019[638] ,January 2021[639] ,IPO ,60.9,China ,"Su Hua, Cheng Yixiao "
Instacart ,24,March 2022[13] ,September 2023[640] ,IPO ,11,United States ,"Apoorva Mehta, Max Mullen, Brandon Leonardo "
Coreweave ,23,March 2025[641] ,March 2025[641] ,,23,United States ,
Flipkart ,15.5,May 2015[642] ,May 2018[643] ,Acquired ,22,India ,"Sachin Bansal, Binny Bansal "
DoorDash ,16,June 2020[644] ,December 2020[645] ,IPO ,32.4,United States ,"Tony Xu, Stanley Tang, Andy Fang and Evan Moore "
CATL ,20,March 2018[646] ,June 2018[647] ,IPO ,12.3,China ,
Snap Inc ,19.3,May 2016[5] ,March 2017[648][649] ,IPO ,24,United States ,"Evan Spiegel, Bobby Murphy, Reggie Brown "
Tencent Music ,18,January 2018 ,December 2018[650] ,IPO ,21.3,China ,
J&T Express ,20,October 2023 ,October 2023 ,IPO ,20,Indonesia ,"Jet Lee, Tony Chen "
Paytm ,3.2,February 2024[651] ,November 2021[652] ,IPO ,20,India ,Vijay Shekhar Sharma 
Lyft ,15.1,June 2018[653] ,March 2019[654] ,IPO ,24,United States ,"Logan Green, John Zimmer "
Adyen ,15.1,March 2018[5] ,June 2018[655] ,IPO ,8.3,Netherlands ,"Pieter van der Does, Arnout Schuijff "
Pinduoduo ,15,April 2018[152] ,July 2018[656] ,IPO ,60,China ,Colin Huang 
Grab ,14,March 2019[657] ,December 2021[658] ,SPAC merger ,40,Singapore ,"Anthony Tan, Tan Hooi Ling "
Pinterest ,13,July 2018[659] ,April 2019[660] ,IPO ,10,United States ,"Ben Silbermann, Paul Sciarra, Evan Sharp "
Snowflake ,12.4,Feb 2020[661] ,Dec 2020[661] ,IPO ,33,United States ,"Benoit Dageville, Thierry Cruanes, Marcin Zukowski "
Robinhood ,11.7,September 2020[662] ,July 2021[663] ,IPO ,26.7,United States ,"Vladimir Tenev, Baiju Bhatt "
Dropbox ,10,January 2014[664] ,March 2018[665] ,IPO ,12,United States ,"Drew Houston, Arash Ferdowsi "
Squarespace ,10,March 2021[666] ,May 2021[667] ,Direct listing ,7.4,United States ,Anthony Casalena 
Gojek ,10,April 2019[668] ,May 2021[669] ,Merger to GoTo ,10.5,Indonesia ,"Nadiem Makarim, Kevin Aluwi "
